employee_id,department,department_position,employment_type,job_type,job_location,years_at_company,yearly_salary,termination_status
E03608,Engineering,Analyst,Part Time,Hybrid,Chicago,8,87550,Active
E00483,Hr,Analyst,Full Time,Remote,Chicago,10,99857,Active
E01048,It,Analyst,Full Time,Remote,Chicago,11,92552,Active
E01763,Marketing,Analyst,Part Time,Hybrid,Chicago,6,98832,Inactive
E02572,Finance,Analyst,Part Time,Hybrid,Chicago,11,98364,Inactive
E00468,Engineering,Analyst,Part Time,Hybrid,Chicago,20,89559,Active
E00464,Sales,Analyst,Full Time,Remote,Chicago,11,98355,Active
E02566,Hr,Analyst,Part Time,Remote,Chicago,10,92432,Inactive
E01610,Marketing,Analyst,Part Time,Hybrid,Chicago,16,93175,Active
E01554,Sales,Analyst,Part Time,Hybrid,Chicago,14,91957,Active
E01276,Engineering,Analyst,Full Time,Hybrid,Chicago,20,95975,Active
E02112,Finance,Analyst,Part Time,Hybrid,Chicago,13,97492,Active
E02886,It,Analyst,Part Time,In Person,Chicago,19,90502,Active
E03491,Marketing,Analyst,Part Time,In Person,Chicago,4,98357,Active
E01642,Engineering,Analyst,Full Time,Remote,Chicago,7,85961,Active
E00870,Finance,Analyst,Part Time,Remote,Chicago,9,92279,Active
E01210,Engineering,Analyst,Full Time,In Person,Chicago,15,89068,Active
E00873,It,Analyst,Full Time,Remote,Chicago,10,95114,Inactive
E01616,Hr,Analyst,Full Time,Remote,Chicago,3,91475,Active
E01110,Finance,Analyst,Full Time,Hybrid,Chicago,9,87357,Active
E03898,Sales,Analyst,Part Time,Remote,Chicago,5,87261,Active
E00745,Finance,Analyst,Full Time,In Person,Chicago,16,91278,Active
E01501,Sales,Analyst,Part Time,Hybrid,Chicago,11,97855,Active
E00883,Engineering,Analyst,Part Time,In Person,Chicago,3,90581,Inactive
E01027,Engineering,Analyst,Part Time,Remote,Chicago,18,93147,Active
E02980,Sales,Analyst,Part Time,In Person,Chicago,13,88269,Active
E01816,Marketing,Analyst,Part Time,Hybrid,Chicago,2,92496,Inactive
E00609,Hr,Analyst,Full Time,Hybrid,Chicago,3,85311,Active
E01817,Hr,Analyst,Part Time,Hybrid,Chicago,8,89482,Active
E03890,Engineering,Analyst,Full Time,In Person,Chicago,7,89551,Active
E00639,Marketing,Analyst,Part Time,Remote,Chicago,5,86935,Active
E01185,Finance,Analyst,Part Time,Hybrid,Chicago,1,91833,Inactive
E00378,It,Analyst,Full Time,Remote,Chicago,12,89612,Active
E02040,Engineering,Analyst,Part Time,In Person,Chicago,6,85757,Active
E00183,Marketing,Analyst,Full Time,Hybrid,Chicago,19,91716,Active
E01293,Engineering,Analyst,Full Time,Remote,Chicago,8,95735,Active
E02668,Engineering,Analyst,Full Time,Remote,Chicago,5,90862,Active
E02928,Marketing,Analyst,Part Time,Remote,Chicago,2,85142,Active
E03477,Engineering,Analyst,Part Time,Remote,Chicago,5,88719,Inactive
E02930,Marketing,Analyst,Full Time,In Person,Chicago,17,85220,Active
E00335,Sales,Analyst,Full Time,Remote,Chicago,10,87786,Active
E01875,Engineering,Analyst,Full Time,In Person,Chicago,15,99202,Active
E02021,Sales,Analyst,Full Time,Remote,Chicago,17,87847,Active
E01347,Sales,Analyst,Full Time,Remote,Chicago,13,98457,Active
E02381,Marketing,Analyst,Full Time,Hybrid,Chicago,9,96882,Active
E01483,Finance,Analyst,Full Time,Remote,Chicago,13,94099,Active
E02288,Finance,Analyst,Full Time,Hybrid,Chicago,18,88133,Active
E02480,Marketing,Analyst,Full Time,In Person,Chicago,10,99407,Active
E00943,Sales,Analyst,Full Time,In Person,Chicago,20,96935,Active
E01100,Marketing,Analyst,Part Time,Hybrid,Chicago,10,92934,Active
E03153,Marketing,Analyst,Full Time,Hybrid,Chicago,11,94583,Inactive
E02137,Sales,Assistant,Full Time,In Person,Chicago,1,74123,Inactive
E00599,Sales,Assistant,Part Time,Remote,Chicago,15,66696,Active
E01257,Finance,Assistant,Full Time,In Person,Chicago,11,69198,Inactive
E02007,Marketing,Assistant,Full Time,In Person,Chicago,18,69141,Active
E01594,Marketing,Assistant,Part Time,In Person,Chicago,11,69566,Active
E03702,It,Assistant,Part Time,In Person,Chicago,3,72275,Active
E02356,Finance,Assistant,Full Time,In Person,Chicago,17,65369,Inactive
E00959,Hr,Assistant,Part Time,In Person,Chicago,4,70681,Active
E00189,Finance,Assistant,Part Time,In Person,Chicago,5,65909,Active
E03633,Finance,Assistant,Full Time,Remote,Chicago,5,66963,Active
E01040,Hr,Assistant,Full Time,In Person,Chicago,12,70882,Active
E03716,It,Assistant,Part Time,Hybrid,Chicago,13,68950,Active
E03512,Sales,Assistant,Part Time,Remote,Chicago,18,65264,Active
E03408,It,Assistant,Full Time,Remote,Chicago,19,73092,Active
E03783,It,Assistant,Full Time,In Person,Chicago,12,69389,Active
E01037,Marketing,Assistant,Full Time,In Person,Chicago,7,74551,Active
E02193,It,Assistant,Part Time,Hybrid,Chicago,5,71571,Active
E00118,Hr,Assistant,Part Time,Remote,Chicago,16,73162,Active
E00224,It,Assistant,Part Time,In Person,Chicago,12,72767,Inactive
E01835,Sales,Assistant,Part Time,In Person,Chicago,18,73374,Active
E01977,It,Assistant,Part Time,Remote,Chicago,19,72164,Active
E03636,Finance,Assistant,Part Time,In Person,Chicago,5,71303,Active
E00977,Marketing,Assistant,Full Time,Remote,Chicago,16,68704,Active
E00456,Engineering,Assistant,Full Time,Hybrid,Chicago,3,71309,Active
E00584,Sales,Assistant,Full Time,In Person,Chicago,16,74586,Active
E01973,Sales,Assistant,Full Time,Remote,Chicago,5,68208,Active
E03232,Finance,Assistant,Part Time,In Person,Chicago,7,71581,Active
E00997,Finance,Assistant,Part Time,Remote,Chicago,20,65237,Active
E01836,Marketing,Assistant,Part Time,In Person,Chicago,3,73735,Active
E03418,It,Assistant,Full Time,Hybrid,Chicago,12,69947,Inactive
E01665,Hr,Assistant,Part Time,Remote,Chicago,15,69695,Active
E02430,Hr,Assistant,Full Time,In Person,Chicago,16,65446,Active
E03807,Finance,Assistant,Part Time,Remote,Chicago,18,71906,Active
E01417,Marketing,Assistant,Full Time,Remote,Chicago,12,68546,Inactive
E00263,Sales,Assistant,Part Time,In Person,Chicago,15,71696,Active
E03831,Hr,Assistant,Part Time,Hybrid,Chicago,13,70452,Active
E01195,Hr,Assistant,Part Time,Hybrid,Chicago,5,67147,Active
E00124,Marketing,Assistant,Full Time,Hybrid,Chicago,11,72350,Active
E03815,Engineering,Assistant,Part Time,Hybrid,Chicago,9,66234,Active
E01964,Engineering,Assistant,Part Time,Hybrid,Chicago,10,74137,Active
E01962,Marketing,Assistant,Full Time,Hybrid,Chicago,15,66656,Active
E00204,It,Assistant,Full Time,Remote,Chicago,19,66233,Inactive
E02519,Finance,Assistant,Part Time,In Person,Chicago,6,71739,Active
E00447,Marketing,Assistant,Part Time,In Person,Chicago,4,71560,Active
E03648,Marketing,Assistant,Part Time,In Person,Chicago,15,72679,Active
E00899,Finance,Assistant,Part Time,In Person,Chicago,17,70185,Active
E00857,Sales,Assistant,Part Time,In Person,Chicago,8,70319,Inactive
E03393,Marketing,Assistant,Full Time,Hybrid,Chicago,11,70415,Active
E01079,Sales,Assistant,Full Time,In Person,Chicago,20,69575,Active
E03261,Marketing,Assistant,Full Time,In Person,Chicago,6,71642,Active
E01790,It,Assistant,Part Time,In Person,Chicago,1,65387,Active
E02357,Hr,Assistant,Full Time,Hybrid,Chicago,19,70092,Active
E02648,Marketing,Assistant,Part Time,In Person,Chicago,8,68440,Active
E02759,Marketing,Assistant,Part Time,Remote,Chicago,15,71981,Active
E02211,Sales,Assistant,Full Time,Hybrid,Chicago,15,70878,Active
E02904,Hr,Assistant,Part Time,In Person,Chicago,15,65518,Inactive
E01189,Marketing,Assistant,Full Time,In Person,Chicago,2,65760,Active
E00693,Marketing,Assistant,Part Time,Hybrid,Chicago,18,70128,Active
E02645,Sales,Assistant,Full Time,In Person,Chicago,9,71690,Active
E03996,Sales,Assistant,Part Time,Remote,Chicago,15,67946,Active
E01409,Hr,Assistant,Part Time,Hybrid,Chicago,8,68244,Active
E02741,Marketing,Assistant,Full Time,Remote,Chicago,19,68601,Active
E00704,Engineering,Assistant,Full Time,Hybrid,Chicago,10,69764,Active
E03664,Engineering,Assistant,Part Time,Hybrid,Chicago,13,72001,Active
E02713,Hr,Assistant,Full Time,Hybrid,Chicago,17,69125,Active
E01235,Sales,Assistant,Full Time,Remote,Chicago,14,72996,Active
E01691,Engineering,Assistant,Part Time,Hybrid,Chicago,20,69633,Active
E01692,It,Assistant,Full Time,In Person,Chicago,1,73110,Active
E00546,It,Assistant,Full Time,Remote,Chicago,6,66188,Active
E02065,Finance,Assistant,Full Time,Remote,Chicago,17,68692,Active
E01461,It,Assistant,Part Time,In Person,Chicago,5,66514,Inactive
E03981,Engineering,Assistant,Full Time,In Person,Chicago,15,74675,Active
E00174,Marketing,Assistant,Full Time,Remote,Chicago,9,65285,Active
E01854,Finance,Assistant,Part Time,Hybrid,Chicago,19,71301,Active
E01651,Finance,Assistant,Full Time,Remote,Chicago,15,67989,Active
E02100,Sales,Assistant,Part Time,In Person,Chicago,12,67586,Active
E01860,It,Assistant,Part Time,Remote,Chicago,18,65468,Active
E02374,Hr,Assistant,Full Time,Hybrid,Chicago,18,67396,Active
E03000,Finance,Assistant,Part Time,In Person,Chicago,11,68262,Active
E02131,Sales,Assistant,Full Time,Remote,Chicago,4,71253,Active
E02377,It,Assistant,Part Time,Remote,Chicago,18,69921,Active
E02362,Hr,Assistant,Full Time,In Person,Chicago,8,67760,Active
E00636,Hr,Assistant,Full Time,Hybrid,Chicago,15,65489,Active
E00504,It,Assistant,Part Time,In Person,Chicago,12,70809,Inactive
E02092,Hr,Assistant,Full Time,In Person,Chicago,18,73707,Active
E00408,Finance,Assistant,Full Time,Remote,Chicago,7,69929,Active
E02597,Sales,Assistant,Part Time,In Person,Chicago,3,72034,Active
E03282,Marketing,Assistant,Part Time,Remote,Chicago,2,70225,Active
E01729,Hr,Assistant,Full Time,In Person,Chicago,20,69125,Active
E00346,It,Assistant,Part Time,In Person,Chicago,6,72946,Active
E02796,Marketing,Assistant,Part Time,Remote,Chicago,13,67567,Active
E01653,Finance,Assistant,Full Time,Remote,Chicago,15,69541,Active
E02017,Marketing,Assistant,Part Time,Remote,Chicago,15,71964,Active
E01054,It,Assistant,Part Time,Remote,Chicago,13,71332,Inactive
E03500,Finance,Assistant,Part Time,In Person,Chicago,16,72057,Active
E00926,Hr,Assistant,Full Time,Remote,Chicago,15,70353,Active
E00097,Finance,Assistant,Full Time,Remote,Chicago,11,69820,Active
E01397,Finance,Assistant,Part Time,Hybrid,Chicago,12,65227,Active
E02086,It,Assistant,Part Time,Remote,Chicago,2,65387,Active
E03764,Engineering,Assistant,Full Time,In Person,Chicago,1,66143,Active
E01742,It,Assistant,Part Time,Remote,Chicago,5,69631,Inactive
E02082,Hr,Assistant,Part Time,In Person,Chicago,14,68319,Inactive
E02873,Finance,Assistant,Part Time,In Person,Chicago,1,69761,Active
E00342,It,Assistant,Full Time,Remote,Chicago,5,72020,Active
E02366,It,Coordinator,Full Time,Hybrid,Chicago,10,84002,Active
E02118,It,Coordinator,Part Time,In Person,Chicago,12,80557,Active
E03463,Sales,Coordinator,Full Time,In Person,Chicago,3,79923,Active
E02317,Engineering,Coordinator,Full Time,In Person,Chicago,8,78367,Active
E01612,Hr,Coordinator,Part Time,Hybrid,Chicago,3,83751,Active
E01557,Marketing,Coordinator,Full Time,In Person,Chicago,5,83471,Active
E03955,Finance,Coordinator,Full Time,In Person,Chicago,12,78927,Active
E02217,Engineering,Coordinator,Part Time,Remote,Chicago,8,80286,Active
E01562,Hr,Coordinator,Full Time,In Person,Chicago,15,78579,Inactive
E01589,Engineering,Coordinator,Part Time,In Person,Chicago,5,78554,Active
E00683,Hr,Coordinator,Part Time,Remote,Chicago,2,79051,Active
E02730,Sales,Coordinator,Full Time,In Person,Chicago,10,76708,Active
E00686,It,Coordinator,Part Time,Remote,Chicago,9,82901,Inactive
E02752,Sales,Coordinator,Full Time,In Person,Chicago,1,80998,Active
E02325,Sales,Coordinator,Full Time,In Person,Chicago,14,75350,Active
E01064,Hr,Coordinator,Full Time,Remote,Chicago,15,77831,Active
E02332,Marketing,Coordinator,Full Time,Hybrid,Chicago,4,84305,Active
E00087,It,Coordinator,Full Time,Hybrid,Chicago,13,77285,Inactive
E03930,Finance,Coordinator,Full Time,Remote,Chicago,5,84781,Active
E03922,Engineering,Coordinator,Full Time,In Person,Chicago,12,77836,Active
E00122,Sales,Coordinator,Full Time,Remote,Chicago,13,75546,Active
E03970,Sales,Coordinator,Part Time,In Person,Chicago,5,83541,Inactive
E00129,Marketing,Coordinator,Full Time,Remote,Chicago,13,79516,Inactive
E03905,Hr,Coordinator,Part Time,Hybrid,Chicago,2,84159,Active
E02068,Finance,Coordinator,Part Time,Hybrid,Chicago,5,77772,Active
E01282,Marketing,Coordinator,Part Time,Remote,Chicago,3,76396,Active
E02359,Engineering,Coordinator,Part Time,Hybrid,Chicago,5,84368,Active
E00152,Marketing,Coordinator,Full Time,In Person,Chicago,16,81830,Active
E03894,Marketing,Coordinator,Part Time,Hybrid,Chicago,10,80967,Active
E02055,Hr,Coordinator,Part Time,Hybrid,Chicago,5,77595,Active
E00176,Sales,Coordinator,Full Time,Hybrid,Chicago,12,75101,Inactive
E00182,Finance,Coordinator,Part Time,Remote,Chicago,15,82509,Inactive
E00187,Engineering,Coordinator,Part Time,In Person,Chicago,10,83752,Active
E03878,Engineering,Coordinator,Full Time,In Person,Chicago,1,81312,Inactive
E00195,Engineering,Coordinator,Full Time,Remote,Chicago,13,81153,Active
E03204,It,Coordinator,Part Time,In Person,Chicago,14,81600,Inactive
E02413,Hr,Coordinator,Part Time,In Person,Chicago,7,76190,Active
E02235,Hr,Coordinator,Full Time,Remote,Chicago,19,78579,Active
E00233,Engineering,Coordinator,Full Time,Remote,Chicago,18,80164,Active
E01969,Marketing,Coordinator,Full Time,In Person,Chicago,1,77497,Active
E01968,Engineering,Coordinator,Full Time,Remote,Chicago,7,77035,Active
E00051,Sales,Coordinator,Full Time,In Person,Chicago,5,76383,Active
E01950,Marketing,Coordinator,Full Time,Hybrid,Chicago,11,77843,Active
E03818,It,Coordinator,Part Time,In Person,Chicago,12,75746,Active
E01948,It,Coordinator,Full Time,In Person,Chicago,13,78820,Active
E00982,Marketing,Coordinator,Part Time,Hybrid,Chicago,10,82301,Active
E03806,Engineering,Coordinator,Full Time,In Person,Chicago,9,81657,Active
E00978,It,Coordinator,Part Time,In Person,Chicago,6,76210,Active
E01938,It,Coordinator,Part Time,In Person,Chicago,3,84657,Inactive
E02448,Engineering,Coordinator,Full Time,Hybrid,Chicago,16,79037,Active
E00278,Finance,Coordinator,Full Time,Hybrid,Chicago,16,78459,Inactive
E00960,Hr,Coordinator,Full Time,Remote,Chicago,18,76346,Active
E02469,It,Coordinator,Full Time,In Person,Chicago,9,82782,Active
E04000,Engineering,Coordinator,Full Time,Remote,Chicago,9,82559,Active
E02931,Hr,Coordinator,Part Time,Remote,Chicago,19,79240,Active
E02485,Sales,Coordinator,Part Time,Hybrid,Chicago,7,75677,Active
E01874,Marketing,Coordinator,Full Time,Remote,Chicago,17,78121,Active
E03279,Engineering,Coordinator,Full Time,Hybrid,Chicago,13,77614,Inactive
E02164,It,Coordinator,Part Time,In Person,Chicago,13,81394,Inactive
E02502,Finance,Coordinator,Full Time,In Person,Chicago,20,75491,Active
E03966,Engineering,Coordinator,Full Time,Hybrid,Chicago,5,78999,Active
E01376,Engineering,Coordinator,Full Time,Hybrid,Chicago,17,75389,Active
E01846,It,Coordinator,Full Time,Hybrid,Chicago,6,78032,Inactive
E01838,Hr,Coordinator,Full Time,Hybrid,Chicago,11,82091,Inactive
E02202,Finance,Coordinator,Full Time,In Person,Chicago,7,78355,Active
E03066,It,Coordinator,Full Time,Remote,Chicago,6,81858,Active
E01393,Engineering,Coordinator,Part Time,Hybrid,Chicago,1,79627,Active
E03129,It,Coordinator,Full Time,Remote,Chicago,17,83395,Active
E03166,Finance,Coordinator,Full Time,Hybrid,Chicago,10,84768,Active
E03673,It,Coordinator,Full Time,Remote,Chicago,8,75859,Active
E01801,Hr,Coordinator,Part Time,Remote,Chicago,6,84288,Active
E01408,Hr,Coordinator,Full Time,In Person,Chicago,15,76796,Active
E01792,Engineering,Coordinator,Full Time,Hybrid,Chicago,15,82037,Active
E03047,Engineering,Coordinator,Full Time,In Person,Chicago,11,79445,Active
E00864,Sales,Coordinator,Full Time,In Person,Chicago,12,78316,Active
E03127,Marketing,Coordinator,Full Time,Hybrid,Chicago,2,83946,Active
E00435,Engineering,Coordinator,Full Time,Remote,Chicago,10,80771,Inactive
E02252,Finance,Coordinator,Part Time,In Person,Chicago,7,77301,Active
E01774,Hr,Coordinator,Full Time,Remote,Chicago,19,83275,Active
E01140,Marketing,Coordinator,Part Time,In Person,Chicago,5,84042,Active
E01766,Hr,Coordinator,Part Time,Remote,Chicago,8,79945,Active
E00851,It,Coordinator,Full Time,In Person,Chicago,10,84717,Active
E03629,It,Coordinator,Part Time,In Person,Chicago,11,77654,Active
E02573,Sales,Coordinator,Full Time,Hybrid,Chicago,4,80352,Active
E00835,Sales,Coordinator,Full Time,Hybrid,Chicago,13,81355,Active
E03599,Sales,Coordinator,Full Time,Remote,Chicago,16,78878,Active
E03339,Engineering,Coordinator,Full Time,In Person,Chicago,14,81314,Active
E01455,Marketing,Coordinator,Part Time,Remote,Chicago,5,80145,Active
E00522,Marketing,Coordinator,Part Time,Remote,Chicago,8,84395,Active
E01175,It,Coordinator,Part Time,Remote,Chicago,19,80489,Active
E03551,Engineering,Coordinator,Part Time,Remote,Chicago,10,75055,Active
E00563,Sales,Coordinator,Full Time,In Person,Chicago,12,77529,Active
E02837,Marketing,Coordinator,Full Time,Hybrid,Chicago,4,76378,Active
E00573,Hr,Coordinator,Full Time,Hybrid,Chicago,10,81662,Inactive
E03146,Finance,Coordinator,Full Time,In Person,Chicago,13,82491,Active
E01662,Hr,Coordinator,Part Time,In Person,Chicago,17,82386,Inactive
E03510,Marketing,Coordinator,Part Time,Remote,Chicago,6,82193,Inactive
E01645,Hr,Coordinator,Part Time,Remote,Chicago,16,82516,Active
E02809,Hr,Coordinator,Full Time,Hybrid,Chicago,18,75847,Active
E01071,Engineering,Coordinator,Full Time,Hybrid,Chicago,2,79412,Inactive
E03376,Marketing,Coordinator,Full Time,In Person,Chicago,13,83412,Active
E00758,Finance,Coordinator,Part Time,In Person,Chicago,20,82080,Active
E03109,Marketing,Coordinator,Part Time,In Person,Chicago,6,79143,Active
E02704,Engineering,Coordinator,Part Time,Remote,Chicago,9,75196,Active
E00211,Finance,Director,Part Time,In Person,Chicago,11,158155,Inactive
E03856,It,Director,Full Time,Remote,Chicago,14,157749,Active
E02398,Hr,Director,Part Time,Hybrid,Chicago,9,150237,Active
E00944,Marketing,Director,Part Time,Hybrid,Chicago,16,142519,Active
E03864,Finance,Director,Full Time,Hybrid,Chicago,18,157653,Active
E03256,Marketing,Director,Part Time,Hybrid,Chicago,1,157793,Active
E01023,Sales,Director,Full Time,Remote,Chicago,7,145204,Inactive
E03871,Engineering,Director,Part Time,Remote,Chicago,9,140067,Inactive
E02026,Sales,Director,Full Time,In Person,Chicago,13,152809,Active
E03270,Sales,Director,Full Time,Hybrid,Chicago,1,151183,Active
E01872,It,Director,Part Time,Hybrid,Chicago,20,153432,Active
E01565,Finance,Director,Full Time,Remote,Chicago,20,144640,Active
E00916,Engineering,Director,Full Time,In Person,Chicago,3,158645,Inactive
E02198,Finance,Director,Full Time,Remote,Chicago,13,145744,Active
E02707,Hr,Director,Part Time,In Person,Chicago,12,155868,Inactive
E00355,It,Director,Full Time,Remote,Chicago,20,144996,Active
E01292,Hr,Director,Full Time,Remote,Chicago,6,143764,Inactive
E02512,It,Director,Part Time,Remote,Chicago,18,156687,Active
E03735,Sales,Director,Part Time,Hybrid,Chicago,16,152515,Active
E02517,Sales,Director,Part Time,Hybrid,Chicago,3,143225,Active
E02049,Hr,Director,Part Time,Hybrid,Chicago,2,142649,Inactive
E03089,Hr,Director,Full Time,In Person,Chicago,15,152762,Active
E02767,It,Director,Part Time,Hybrid,Chicago,20,144038,Active
E02533,Sales,Director,Full Time,In Person,Chicago,1,158962,Active
E03698,Marketing,Director,Full Time,Remote,Chicago,11,144275,Inactive
E00398,It,Director,Full Time,In Person,Chicago,9,142137,Inactive
E03077,It,Director,Part Time,Remote,Chicago,18,158134,Active
E00885,Hr,Director,Full Time,In Person,Chicago,18,149435,Active
E01805,Engineering,Director,Full Time,In Person,Chicago,1,147104,Active
E01804,Hr,Director,Full Time,Hybrid,Chicago,14,140301,Active
E03965,Marketing,Director,Part Time,Remote,Chicago,15,145457,Inactive
E03305,Engineering,Director,Part Time,In Person,Chicago,14,142038,Active
E03200,Finance,Director,Full Time,Remote,Chicago,9,151183,Inactive
E01407,Hr,Director,Full Time,In Person,Chicago,11,142157,Inactive
E00602,Engineering,Director,Part Time,Remote,Chicago,8,147245,Active
E00415,Engineering,Director,Full Time,Hybrid,Chicago,13,141702,Active
E00604,Hr,Director,Full Time,In Person,Chicago,10,144220,Inactive
E01794,It,Director,Full Time,Remote,Chicago,9,155758,Active
E02682,Hr,Director,Full Time,Remote,Chicago,11,143566,Active
E00866,Hr,Director,Part Time,In Person,Chicago,19,157982,Active
E00424,Finance,Director,Full Time,Hybrid,Chicago,8,148090,Inactive
E00445,It,Director,Full Time,Remote,Chicago,13,153882,Active
E01279,It,Director,Part Time,In Person,Chicago,18,156538,Active
E02725,Engineering,Director,Part Time,In Person,Chicago,10,150972,Active
E00121,Sales,Director,Part Time,In Person,Chicago,1,156007,Active
E00853,Engineering,Director,Part Time,Hybrid,Chicago,8,146237,Inactive
E02318,Marketing,Director,Full Time,Remote,Chicago,12,153967,Inactive
E01532,It,Director,Full Time,In Person,Chicago,16,146594,Inactive
E02352,It,Director,Full Time,In Person,Chicago,14,145630,Active
E01760,Engineering,Director,Full Time,Hybrid,Chicago,15,153929,Inactive
E03497,Finance,Director,Full Time,Remote,Chicago,18,152538,Inactive
E00105,Sales,Director,Part Time,Hybrid,Chicago,18,143420,Active
E01424,Engineering,Director,Part Time,Hybrid,Chicago,16,149551,Active
E03621,Engineering,Director,Part Time,Hybrid,Chicago,5,146122,Inactive
E02875,Marketing,Director,Part Time,Hybrid,Chicago,9,156643,Active
E01748,It,Director,Part Time,Hybrid,Chicago,16,148330,Active
E00482,Marketing,Director,Part Time,Hybrid,Chicago,12,157913,Active
E01176,It,Director,Full Time,Hybrid,Chicago,2,159082,Active
E00836,Finance,Director,Full Time,In Person,Chicago,6,144771,Active
E03139,Sales,Director,Full Time,Remote,Chicago,14,159157,Active
E03030,It,Director,Full Time,Remote,Chicago,19,148421,Active
E00827,Sales,Director,Part Time,In Person,Chicago,16,156279,Inactive
E01053,Engineering,Director,Part Time,In Person,Chicago,13,140181,Active
E03590,Marketing,Director,Part Time,Remote,Chicago,18,158261,Active
E00503,Sales,Director,Part Time,Hybrid,Chicago,5,158009,Active
E01727,It,Director,Part Time,Remote,Chicago,6,142040,Active
E01241,It,Director,Part Time,In Person,Chicago,10,146753,Active
E01513,Hr,Director,Full Time,Hybrid,Chicago,18,153305,Active
E03566,Sales,Director,Part Time,In Person,Chicago,5,156403,Inactive
E02620,Finance,Director,Full Time,Remote,Chicago,13,142426,Active
E03397,Finance,Director,Part Time,In Person,Chicago,20,146572,Active
E02305,Marketing,Director,Part Time,In Person,Chicago,20,149476,Active
E00003,Engineering,Director,Full Time,In Person,Chicago,10,146137,Active
E03538,Engineering,Director,Part Time,Remote,Chicago,15,141081,Inactive
E02840,Engineering,Director,Part Time,In Person,Chicago,1,159945,Inactive
E00802,Hr,Director,Full Time,Remote,Chicago,9,154203,Active
E02838,Marketing,Director,Part Time,Remote,Chicago,12,146339,Active
